# Transmission spectrum extracted from transmission.png
# Columns: pixel_x, pixel_y, x_normalized, y_normalized
# Note: x_normalized and y_normalized are in range [0, 1]
# The actual wavelength/frequency and transmission values depend on the original plot axes
# Modify the ranges in the script if you know the actual axis values
#
# pixel_x    pixel_y    x_normalized    y_normalized(transmission)
   403.0     234.6  0.368373  0.389137
   404.0     234.3  0.369287  0.389881
   405.0     327.5  0.370201  0.147135
   406.0     327.5  0.371115  0.147135
   407.0     327.5  0.372029  0.147135
   408.0     300.1  0.372943  0.218424
   409.0     272.8  0.373857  0.289714
   410.0     245.4  0.374771  0.361003
   411.0     325.5  0.375686  0.152344
   412.0     325.5  0.376600  0.152344
   413.0     324.5  0.377514  0.154948
   414.0     233.4  0.378428  0.392113
   415.0     233.4  0.379342  0.392113
   416.0     233.4  0.380256  0.392113
   417.0     323.5  0.381170  0.157552
   418.0     323.5  0.382084  0.157552
   419.0     323.5  0.382998  0.157552
   420.0     232.9  0.383912  0.393601
   421.0     232.9  0.384826  0.393601
   422.0     232.9  0.385740  0.393601
   423.0     322.0  0.386654  0.161458
   424.0     321.5  0.387569  0.162760
   425.0     321.5  0.388483  0.162760
   426.0     232.3  0.389397  0.395089
   427.0     232.3  0.390311  0.395089
   428.0     232.3  0.391225  0.395089
   429.0     319.5  0.392139  0.167969
   430.0     319.5  0.393053  0.167969
   431.0     319.5  0.393967  0.167969
   432.0     242.8  0.394881  0.367839
   433.0     267.7  0.395795  0.302951
   434.0     292.6  0.396709  0.238064
   435.0     317.5  0.397623  0.173177
   436.0     317.5  0.398537  0.173177
   437.0     317.0  0.399452  0.174479
   438.0     231.1  0.400366  0.398065
   439.0     231.1  0.401280  0.398065
   440.0     230.9  0.402194  0.398810
   441.0     315.5  0.403108  0.178385
   442.0     315.5  0.404022  0.178385
   443.0     315.0  0.404936  0.179688
   444.0     230.6  0.405850  0.399554
   445.0     230.3  0.406764  0.400298
   446.0     230.3  0.407678  0.400298
   447.0     313.5  0.408592  0.183594
   448.0     313.0  0.409506  0.184896
   449.0     312.5  0.410420  0.186198
   450.0     230.0  0.411335  0.401042
   451.0     229.7  0.412249  0.401786
   452.0     229.7  0.413163  0.401786
   453.0     311.5  0.414077  0.188802
   454.0     310.5  0.414991  0.191406
   455.0     310.5  0.415905  0.191406
   456.0     274.9  0.416819  0.284017
   457.0     239.4  0.417733  0.376628
   458.0     274.4  0.418647  0.285319
   459.0     309.5  0.419561  0.194010
